Variable:,pr
Country:,Colombia
Subnational-unit:,Antioquia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,37.80,70.58,138.09,277.99,384.19,318.59,282.92,279.96,385.41,298.23,464.99,350.69
2011,113.31,165.55,216.12,324.07,374.84,401.47,297.10,260.99,340.54,412.98,403.04,371.69
2012,167.79,75.10,159.33,319.84,257.77,187.15,176.03,251.10,213.22,336.04,253.75,164.75
2013,59.31,179.28,135.64,153.19,357.39,191.84,124.76,368.60,244.21,249.62,314.00,200.22
2014,108.16,119.60,148.68,188.02,251.11,192.89,110.36,216.41,254.32,281.09,303.95,195.82
2015,107.00,102.75,179.86,177.90,163.28,164.19,185.01,209.38,195.17,198.66,211.49,60.13
2016,59.75,48.97,108.91,222.51,222.21,159.63,213.39,273.58,265.72,261.88,305.67,249.57
2017,130.62,123.93,192.04,203.07,394.47,313.36,160.29,376.14,285.81,303.49,270.87,183.06
2018,163.35,87.98,130.70,258.15,389.81,266.11,201.78,230.65,308.21,325.42,304.16,82.78
2019,82.51,92.65,174.89,215.32,390.07,221.69,203.97,174.66,294.11,279.75,268.96,159.07
2020,85.53,93.11,110.33,137.81,215.66,258.56,364.25,302.21,315.72,209.77,329.86,210.62
2021,138.67,106.35,223.46,201.71,234.61,306.58,246.65,418.25,244.62,272.02,323.67,129.92
